,State,County,fips,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke,year
2,Alabama ,Autauga ,1001,0.6,10.6,25.5,3.3,8.6,0,9,10.2,12.5,7.8,26.5,0.3,* ,15.3,* ,40,56.6,32.2,5.1,2.2,6.2,2007
3,Alabama ,Baldwin ,1003,0.9,10.6,27.4,4.3,10.1,* ,9.1,8.4,11.4,7.4,22,0.5,0.1,15.5,0.2,42.2,56.3,33.6,4.4,1.6,4.7,2007
4,Alabama ,Barbour ,1005,1.1,12.6,34.1,3.8,8.5,0,8.3,12.8,12,6.2,30.9,1,* ,19.6,* ,48.7,70.6,28.2,6.4,2.3,6.3,2007
5,Alabama ,Bibb ,1007,0.6,15.3,29.8,3.8,8.8,* ,7.6,16.6,13.7,9.9,30.5,0.8,* ,22.1,* ,45.7,65.1,32.7,6.1,4,5.6,2007
6,Alabama ,Blount ,1009,0.6,11.3,26.7,4,9.6,* ,7.2,12.4,13.7,10.1,26.4,0.7,* ,24.7,* ,46,62.3,35.5,5.6,2.3,4.7,2007
7,Alabama ,Bullock ,1011,* ,* ,37.9,* ,* ,* ,7.4,13.3,11,3.9,33,* ,* ,19.4,* ,38.5,68.4,30,* ,2.5,* ,2007
8,Alabama ,Butler ,1013,0.8,15.2,36,3.4,8.3,* ,7.8,11.8,16.1,10.3,32.3,0.6,* ,20.9,* ,38.4,65.4,31.9,* ,2.6,4.4,2007
9,Alabama ,Calhoun ,1015,1,13,34,4.2,8.1,* ,7.5,13.9,14.9,8.6,27,0.6,* ,21.7,0.1,44.7,63.5,39.9,6,3.1,5.4,2007
10,Alabama ,Chambers ,1017,1,12.9,29.4,3.3,7.1,* ,7.2,11.9,14.4,6.1,30.4,0.5,* ,23.9,* ,38.7,59.4,39.6,6.5,2,5.2,2007
11,Alabama ,Cherokee ,1019,1,11,26.4,3,7.8,0,8.6,12.4,14.4,9.3,27.8,0.7,* ,19.9,0,45.7,60.2,33.1,4,1.9,4.3,2007
12,Alabama ,Chilton ,1021,0.8,14.8,36.7,3.3,8,0,8,11.9,14.6,9.9,27.9,* ,* ,20.4,* ,42.3,61.5,37.4,5.2,2,5.3,2007
13,Alabama ,Choctaw ,1023,* ,14.1,36,2.2,7.9,0,8.9,9.6,13.2,6.9,28.8,0.7,* ,17.3,* ,33.9,63.3,26.2,* ,2.6,* ,2007
14,Alabama ,Clarke ,1025,0.7,13.7,25.3,2.6,9.1,0,8.1,10.7,12,5.4,27.3,0.6,* ,19.6,* ,36.1,60.4,30.6,* ,2.3,5.2,2007
15,Alabama ,Clay ,1027,1,14.2,38.3,3.1,* ,0,6.4,9.8,18.8,8,24.8,0.7,* ,28,* ,36.7,55,35.8,3.4,3.3,5.1,2007
16,Alabama ,Cleburne ,1029,0.5,12.2,32.9,2.5,* ,0,6.3,12.9,13.8,6.6,24.8,* ,* ,20.4,* ,40.9,60.1,38,* ,3.1,4.5,2007
17,Alabama ,Coffee ,1031,0.8,12.7,35.7,4.1,8,* ,8.6,11,14.5,6.6,27.1,1.3,* ,17.2,* ,38.1,64.6,33.7,5.2,1.9,4.4,2007
18,Alabama ,Colbert ,1033,0.7,12,35.1,3.5,8.4,* ,8,11.3,13.9,7,29.8,1.1,* ,17.7,* ,55.2,70.4,37.9,6.8,1.8,4.6,2007
19,Alabama ,Conecuh ,1035,0.9,10.2,50.1,4.1,6.7,* ,8.6,9.8,16.2,7.4,30.6,* ,* ,19.7,* ,41.3,70.7,33.3,* ,1.6,5.3,2007
20,Alabama ,Coosa ,1037,0.8,* ,25.5,1.7,* ,0,7.6,15.7,14.6,4.3,25,* ,* ,21.7,* ,33,62.3,34.6,* ,* ,7.2,2007
